2025-06-27 14:19:11.117 | INFO     | orchestrator.logging_config:__init__:33 | 187:139737289284480 | LoggingManager initialized
2025-06-27 14:29:28.678 | INFO     | orchestrator.cache_manager:__init__:37 | 309:140343098694528 | CacheManager initialized
2025-06-27 14:29:28.678 | DEBUG    | orchestrator.cache_manager:connect:76 | 309:140343098694528 | Attempting Redis connection
2025-06-27 14:29:28.681 | INFO     | orchestrator.cache_manager:connect:86 | 309:140343098694528 | Connected to Redis successfully
2025-06-27 14:29:28.775 | INFO     | orchestrator.logging_config:__init__:33 | 309:140343098694528 | LoggingManager initialized
2025-06-27 14:29:28.775 | INFO     | orchestrator.cache_manager:__init__:37 | 309:140343098694528 | CacheManager initialized
2025-06-27 14:29:28.776 | DEBUG    | orchestrator.cache_manager:connect:76 | 309:140343098694528 | Attempting Redis connection
2025-06-27 14:29:28.779 | INFO     | orchestrator.cache_manager:connect:86 | 309:140343098694528 | Connected to Redis successfully
2025-06-27 14:29:28.807 | INFO     | orchestrator.logging_config:__init__:33 | 309:140343098694528 | LoggingManager initialized
2025-06-27 14:31:12.395 | INFO     | orchestrator.logging_config:__init__:33 | 329:139705251531648 | LoggingManager initialized
2025-06-27 14:31:12.395 | INFO     | orchestrator.cache_manager:__init__:37 | 329:139705251531648 | CacheManager initialized
2025-06-27 14:31:12.395 | DEBUG    | orchestrator.cache_manager:connect:76 | 329:139705251531648 | Attempting Redis connection
2025-06-27 14:31:12.417 | INFO     | orchestrator.cache_manager:connect:86 | 329:139705251531648 | Connected to Redis successfully
2025-06-27 14:31:12.429 | INFO     | agents.base:__init__:62 | 329:139705251531648 | Agent initialized
2025-06-27 14:31:12.431 | DEBUG    | agents.agent_normalization:execute:35 | 329:139705251531648 | Starting normalization execution
2025-06-27 14:31:12.432 | INFO     | agents.base:pre_execute:82 | 329:139705251531648 | Starting agent execution
2025-06-27 14:31:12.432 | DEBUG    | agents.agent_normalization:execute:45 | 329:139705251531648 | Checking cache for normalization result
2025-06-27 14:31:12.433 | DEBUG    | orchestrator.cache_manager:get:180 | 329:139705251531648 | Cache get operation started
2025-06-27 14:31:12.434 | DEBUG    | orchestrator.cache_manager:get:192 | 329:139705251531648 | Cache miss
2025-06-27 14:31:12.434 | DEBUG    | agents.agent_normalization:execute:60 | 329:139705251531648 | Validating input data
2025-06-27 14:31:12.434 | DEBUG    | agents.agent_normalization:execute:70 | 329:139705251531648 | Starting name normalization (fake mode)
2025-06-27 14:31:12.435 | DEBUG    | agents.agent_normalization:_normalize_name_fake:214 | 329:139705251531648 | Starting fake name normalization
2025-06-27 14:31:12.436 | DEBUG    | agents.agent_normalization:_normalize_name_fake:225 | 329:139705251531648 | Basic cleaning completed
2025-06-27 14:31:12.437 | DEBUG    | agents.agent_normalization:_normalize_name_fake:241 | 329:139705251531648 | Legal forms removed
2025-06-27 14:31:12.437 | DEBUG    | agents.agent_normalization:_normalize_name_fake:271 | 329:139705251531648 | Name normalization completed
2025-06-27 14:31:12.438 | DEBUG    | agents.agent_normalization:execute:78 | 329:139705251531648 | Name normalization completed
2025-06-27 14:31:12.438 | DEBUG    | agents.agent_normalization:execute:87 | 329:139705251531648 | Starting enterprise matching (fake mode)
2025-06-27 14:31:12.439 | DEBUG    | agents.agent_normalization:execute:95 | 329:139705251531648 | Enterprise matching completed
2025-06-27 14:31:12.440 | DEBUG    | agents.agent_normalization:execute:104 | 329:139705251531648 | Starting named entity extraction (fake mode)
2025-06-27 14:31:12.441 | DEBUG    | agents.agent_normalization:execute:112 | 329:139705251531648 | Named entity extraction completed
2025-06-27 14:31:12.442 | DEBUG    | agents.agent_normalization:execute:132 | 329:139705251531648 | Validating consolidated data
2025-06-27 14:31:12.443 | WARNING  | agents.agent_normalization:execute:141 | 329:139705251531648 | Data validation errors found
2025-06-27 14:31:12.444 | INFO     | agents.agent_normalization:execute:149 | 329:139705251531648 | Normalization execution successful
2025-06-27 14:31:12.444 | DEBUG    | agents.agent_normalization:execute:177 | 329:139705251531648 | Caching normalization result
2025-06-27 14:31:12.446 | DEBUG    | orchestrator.cache_manager:set:255 | 329:139705251531648 | Cache set for key: agent:normalization:Société Test SARL:6922310013529995368 (TTL: 3600s)
2025-06-27 14:31:12.447 | INFO     | agents.base:post_execute:101 | 329:139705251531648 | Agent execution completed
2025-06-27 14:31:12.448 | WARNING  | agents.base:post_execute:114 | 329:139705251531648 | Agent execution had errors
2025-06-27 14:31:12.449 | DEBUG    | orchestrator.cache_manager:get:180 | 329:139705251531648 | Cache get operation started
2025-06-27 14:31:12.449 | DEBUG    | orchestrator.cache_manager:get:207 | 329:139705251531648 | Cache hit
2025-06-27 14:31:12.450 | INFO     | orchestrator.cache_manager:disconnect:106 | 329:139705251531648 | Disconnected from Redis
2025-06-27 14:31:12.450 | INFO     | orchestrator.cache_manager:__init__:37 | 329:139705251531648 | CacheManager initialized
2025-06-27 14:31:12.451 | DEBUG    | orchestrator.cache_manager:connect:76 | 329:139705251531648 | Attempting Redis connection
2025-06-27 14:31:12.454 | INFO     | orchestrator.cache_manager:connect:86 | 329:139705251531648 | Connected to Redis successfully
2025-06-27 14:31:12.461 | INFO     | agents.base:__init__:62 | 329:139705251531648 | Agent initialized
2025-06-27 14:31:12.461 | DEBUG    | agents.agent_identification:execute:32 | 329:139705251531648 | Starting identification execution
2025-06-27 14:31:12.462 | INFO     | agents.base:pre_execute:82 | 329:139705251531648 | Starting agent execution
2025-06-27 14:31:12.463 | DEBUG    | agents.agent_identification:execute:42 | 329:139705251531648 | Retrieving normalization data
2025-06-27 14:31:12.464 | DEBUG    | agents.agent_identification:execute:55 | 329:139705251531648 | Checking for existing SIREN
2025-06-27 14:31:12.464 | DEBUG    | agents.agent_identification:execute:67 | 329:139705251531648 | Using SIREN from normalization
2025-06-27 14:31:12.465 | DEBUG    | agents.agent_identification:execute:95 | 329:139705251531648 | Starting website URL search (fake mode)
2025-06-27 14:31:12.465 | DEBUG    | agents.agent_identification:execute:104 | 329:139705251531648 | Website URL search completed
2025-06-27 14:31:12.466 | ERROR    | agents.agent_identification:execute:158 | 329:139705251531648 | Identification execution failed
2025-06-27 14:31:47.075 | INFO     | orchestrator.logging_config:__init__:33 | 341:140580396669824 | LoggingManager initialized
2025-06-27 14:31:47.075 | INFO     | orchestrator.core:__init__:122 | 341:140580396669824 | OrchestrationEngine initialized
2025-06-27 14:31:53.447 | INFO     | orchestrator.logging_config:__init__:33 | 343:139819996466048 | LoggingManager initialized
2025-06-27 14:31:53.448 | INFO     | orchestrator.logging_config:setup_logging:363 | 343:139819996466048 | Logging system configured successfully
2025-06-27 14:31:53.448 | INFO     | __main__:test_logging:36 | 343:139819996466048 | Test du système de logging depuis script
2025-06-27 14:31:53.456 | INFO     | __main__:test_logging:43 | 343:139819996466048 | Test de log spécifique à un agent
2025-06-27 14:31:53.465 | INFO     | orchestrator.cache_manager:__init__:37 | 343:139819996466048 | CacheManager initialized
2025-06-27 14:31:53.465 | DEBUG    | orchestrator.cache_manager:connect:76 | 343:139819996466048 | Attempting Redis connection
2025-06-27 14:31:53.484 | INFO     | orchestrator.cache_manager:connect:86 | 343:139819996466048 | Connected to Redis successfully
2025-06-27 14:31:53.486 | DEBUG    | orchestrator.cache_manager:set:255 | 343:139819996466048 | Cache set for key: script_test_key (TTL: 300s)
2025-06-27 14:31:53.486 | DEBUG    | orchestrator.cache_manager:get:180 | 343:139819996466048 | Cache get operation started
2025-06-27 14:31:53.487 | DEBUG    | orchestrator.cache_manager:get:207 | 343:139819996466048 | Cache hit
2025-06-27 14:31:53.497 | INFO     | agents.base:__init__:62 | 343:139819996466048 | Agent initialized
2025-06-27 14:31:53.498 | DEBUG    | agents.agent_normalization:execute:35 | 343:139819996466048 | Starting normalization execution
2025-06-27 14:31:53.499 | INFO     | agents.base:pre_execute:82 | 343:139819996466048 | Starting agent execution
2025-06-27 14:31:53.500 | DEBUG    | agents.agent_normalization:execute:45 | 343:139819996466048 | Checking cache for normalization result
2025-06-27 14:31:53.500 | DEBUG    | orchestrator.cache_manager:get:180 | 343:139819996466048 | Cache get operation started
2025-06-27 14:31:53.501 | DEBUG    | orchestrator.cache_manager:get:192 | 343:139819996466048 | Cache miss
2025-06-27 14:31:53.501 | DEBUG    | agents.agent_normalization:execute:60 | 343:139819996466048 | Validating input data
2025-06-27 14:31:53.502 | DEBUG    | agents.agent_normalization:execute:70 | 343:139819996466048 | Starting name normalization (fake mode)
2025-06-27 14:31:53.502 | DEBUG    | agents.agent_normalization:_normalize_name_fake:214 | 343:139819996466048 | Starting fake name normalization
2025-06-27 14:31:53.503 | DEBUG    | agents.agent_normalization:_normalize_name_fake:225 | 343:139819996466048 | Basic cleaning completed
2025-06-27 14:31:53.504 | DEBUG    | agents.agent_normalization:_normalize_name_fake:241 | 343:139819996466048 | Legal forms removed
2025-06-27 14:31:53.504 | DEBUG    | agents.agent_normalization:_normalize_name_fake:271 | 343:139819996466048 | Name normalization completed
2025-06-27 14:31:53.505 | DEBUG    | agents.agent_normalization:execute:78 | 343:139819996466048 | Name normalization completed
2025-06-27 14:31:53.505 | DEBUG    | agents.agent_normalization:execute:87 | 343:139819996466048 | Starting enterprise matching (fake mode)
2025-06-27 14:31:53.506 | DEBUG    | agents.agent_normalization:execute:95 | 343:139819996466048 | Enterprise matching completed
2025-06-27 14:31:53.506 | DEBUG    | agents.agent_normalization:execute:104 | 343:139819996466048 | Starting named entity extraction (fake mode)
2025-06-27 14:31:53.507 | DEBUG    | agents.agent_normalization:execute:112 | 343:139819996466048 | Named entity extraction completed
2025-06-27 14:31:53.507 | DEBUG    | agents.agent_normalization:execute:132 | 343:139819996466048 | Validating consolidated data
2025-06-27 14:31:53.508 | WARNING  | agents.agent_normalization:execute:141 | 343:139819996466048 | Data validation errors found
2025-06-27 14:31:53.509 | INFO     | agents.agent_normalization:execute:149 | 343:139819996466048 | Normalization execution successful
2025-06-27 14:31:53.509 | DEBUG    | agents.agent_normalization:execute:177 | 343:139819996466048 | Caching normalization result
2025-06-27 14:31:53.512 | DEBUG    | orchestrator.cache_manager:set:255 | 343:139819996466048 | Cache set for key: agent:normalization:Test Company SARL:-5939041705892631463 (TTL: 3600s)
2025-06-27 14:31:53.512 | INFO     | agents.base:post_execute:101 | 343:139819996466048 | Agent execution completed
2025-06-27 14:31:53.512 | WARNING  | agents.base:post_execute:114 | 343:139819996466048 | Agent execution had errors
2025-06-27 14:31:53.520 | INFO     | agents.base:__init__:62 | 343:139819996466048 | Agent initialized
2025-06-27 14:31:53.521 | DEBUG    | agents.agent_identification:execute:32 | 343:139819996466048 | Starting identification execution
2025-06-27 14:31:53.521 | INFO     | agents.base:pre_execute:82 | 343:139819996466048 | Starting agent execution
2025-06-27 14:31:53.522 | DEBUG    | agents.agent_identification:execute:42 | 343:139819996466048 | Retrieving normalization data
2025-06-27 14:31:53.523 | DEBUG    | agents.agent_identification:execute:55 | 343:139819996466048 | Checking for existing SIREN
2025-06-27 14:31:53.523 | DEBUG    | agents.agent_identification:execute:67 | 343:139819996466048 | Using SIREN from normalization
2025-06-27 14:31:53.524 | DEBUG    | agents.agent_identification:execute:95 | 343:139819996466048 | Starting website URL search (fake mode)
2025-06-27 14:31:53.524 | DEBUG    | agents.agent_identification:execute:104 | 343:139819996466048 | Website URL search completed
2025-06-27 14:31:53.525 | INFO     | agents.agent_identification:execute:126 | 343:139819996466048 | Identification execution successful
2025-06-27 14:31:53.525 | INFO     | agents.base:post_execute:101 | 343:139819996466048 | Agent execution completed
2025-06-27 14:31:53.533 | INFO     | agents.base:__init__:62 | 343:139819996466048 | Agent initialized
2025-06-27 14:31:53.533 | DEBUG    | agents.agent_validation:execute:30 | 343:139819996466048 | Starting validation execution
2025-06-27 14:31:53.534 | INFO     | agents.base:pre_execute:82 | 343:139819996466048 | Starting agent execution
2025-06-27 14:31:53.534 | DEBUG    | agents.agent_validation:execute:40 | 343:139819996466048 | Validating input data
2025-06-27 14:31:53.535 | DEBUG    | agents.agent_validation:execute:50 | 343:139819996466048 | Starting conflict detection (fake mode)
2025-06-27 14:31:53.536 | DEBUG    | agents.agent_validation:execute:58 | 343:139819996466048 | Conflict detection completed
2025-06-27 14:31:53.536 | DEBUG    | agents.agent_validation:execute:66 | 343:139819996466048 | Starting conflict resolution (fake mode)
2025-06-27 14:31:53.537 | DEBUG    | agents.agent_validation:execute:74 | 343:139819996466048 | Conflict resolution completed
2025-06-27 14:31:53.537 | DEBUG    | agents.agent_validation:execute:82 | 343:139819996466048 | Calculating consistency score
2025-06-27 14:31:53.537 | DEBUG    | agents.agent_validation:execute:94 | 343:139819996466048 | Consistency score calculated
2025-06-27 14:31:53.538 | DEBUG    | agents.agent_validation:execute:101 | 343:139819996466048 | Identifying linked entities (fake mode)
2025-06-27 14:31:53.539 | DEBUG    | agents.agent_validation:execute:108 | 343:139819996466048 | Linked entities identification completed
2025-06-27 14:31:53.539 | DEBUG    | agents.agent_validation:execute:118 | 343:139819996466048 | Data quality score calculated
2025-06-27 14:31:53.540 | INFO     | agents.agent_validation:execute:137 | 343:139819996466048 | Validation execution successful
2025-06-27 14:31:53.540 | INFO     | agents.base:post_execute:101 | 343:139819996466048 | Agent execution completed
2025-06-27 14:31:53.541 | INFO     | orchestrator.core:__init__:122 | 343:139819996466048 | OrchestrationEngine initialized
2025-06-27 14:31:53.541 | INFO     | orchestrator.core:execute_session:134 | 343:139819996466048 | Starting exploration session
2025-06-27 14:31:53.541 | DEBUG    | orchestrator.core:_create_context:182 | 343:139819996466048 | Creating session context
2025-06-27 14:31:53.541 | DEBUG    | orchestrator.core:_create_context:196 | 343:139819996466048 | Session context created successfully
2025-06-27 14:31:53.541 | DEBUG    | orchestrator.core:execute_session:145 | 343:139819996466048 | Session context created
2025-06-27 14:31:53.542 | INFO     | orchestrator.core:execute_session:155 | 343:139819996466048 | Session initialized successfully
2025-06-27 14:31:53.544 | INFO     | orchestrator.cache_manager:disconnect:106 | 343:139819996466048 | Disconnected from Redis
2025-06-27 14:39:13.837 | INFO     | orchestrator.logging_config:__init__:33 | 406:140409092017024 | LoggingManager initialized
2025-06-27 14:39:13.837 | INFO     | orchestrator.cache_manager:__init__:37 | 406:140409092017024 | CacheManager initialized
2025-06-27 14:39:13.837 | DEBUG    | orchestrator.cache_manager:connect:76 | 406:140409092017024 | Attempting Redis connection
2025-06-27 14:39:13.840 | INFO     | orchestrator.cache_manager:connect:86 | 406:140409092017024 | Connected to Redis successfully
2025-06-27 14:39:13.915 | INFO     | orchestrator.logging_config:__init__:33 | 406:140409092017024 | LoggingManager initialized
2025-06-27 14:39:13.915 | INFO     | orchestrator.cache_manager:__init__:37 | 406:140409092017024 | CacheManager initialized
2025-06-27 14:39:13.916 | DEBUG    | orchestrator.cache_manager:connect:76 | 406:140409092017024 | Attempting Redis connection
2025-06-27 14:39:13.919 | INFO     | orchestrator.cache_manager:connect:86 | 406:140409092017024 | Connected to Redis successfully
2025-06-27 14:39:13.946 | INFO     | orchestrator.logging_config:__init__:33 | 406:140409092017024 | LoggingManager initialized
2025-06-27 14:44:17.323 | INFO     | orchestrator.logging_config:__init__:33 | 35:140116414692224 | LoggingManager initialized
2025-06-27 14:44:17.324 | INFO     | orchestrator.cache_manager:__init__:37 | 35:140116414692224 | CacheManager initialized
2025-06-27 14:44:17.324 | DEBUG    | orchestrator.cache_manager:connect:76 | 35:140116414692224 | Attempting Redis connection
2025-06-27 14:44:17.327 | INFO     | orchestrator.cache_manager:connect:86 | 35:140116414692224 | Connected to Redis successfully
2025-06-27 14:44:17.377 | INFO     | orchestrator.logging_config:__init__:33 | 35:140116414692224 | LoggingManager initialized
2025-06-27 14:44:17.377 | INFO     | orchestrator.logging_config:setup_logging:298 | 35:140116414692224 | Logging system reconfigured
2025-06-27 14:44:17.377 | INFO     | __main__:test_logging_system:343 | 35:140116414692224 | Test log INFO
2025-06-27 14:44:17.377 | WARNING  | __main__:test_logging_system:344 | 35:140116414692224 | Test log WARNING
2025-06-27 14:44:17.378 | ERROR    | __main__:test_logging_system:345 | 35:140116414692224 | Test log ERROR
2025-06-27 14:44:17.386 | INFO     | __main__:test_logging_system:349 | 35:140116414692224 | Test agent log
2025-06-27 14:44:17.388 | INFO     | orchestrator.cache_manager:__init__:37 | 35:140116414692224 | CacheManager initialized
2025-06-27 14:44:17.388 | DEBUG    | orchestrator.cache_manager:connect:76 | 35:140116414692224 | Attempting Redis connection
2025-06-27 14:44:17.392 | INFO     | orchestrator.cache_manager:connect:86 | 35:140116414692224 | Connected to Redis successfully
2025-06-27 14:44:17.421 | INFO     | orchestrator.logging_config:__init__:33 | 35:140116414692224 | LoggingManager initialized
2025-06-27 14:44:17.422 | INFO     | orchestrator.logging_config:setup_logging:298 | 35:140116414692224 | Logging system reconfigured
2025-06-27 14:44:17.423 | INFO     | __main__:test_infrastructure_integration:506 | 35:140116414692224 | Début test intégration
2025-06-27 14:44:52.003 | INFO     | orchestrator.logging_config:__init__:33 | 50:140603273227136 | LoggingManager initialized
2025-06-27 14:44:52.004 | INFO     | orchestrator.cache_manager:__init__:37 | 50:140603273227136 | CacheManager initialized
2025-06-27 14:44:52.004 | DEBUG    | orchestrator.cache_manager:connect:76 | 50:140603273227136 | Attempting Redis connection
2025-06-27 14:44:52.007 | INFO     | orchestrator.cache_manager:connect:86 | 50:140603273227136 | Connected to Redis successfully
2025-06-27 14:44:52.060 | INFO     | orchestrator.logging_config:__init__:33 | 50:140603273227136 | LoggingManager initialized
2025-06-27 14:44:52.060 | INFO     | orchestrator.logging_config:setup_logging:298 | 50:140603273227136 | Logging system reconfigured
2025-06-27 14:44:52.061 | INFO     | __main__:test_logging_system:343 | 50:140603273227136 | Test log INFO
2025-06-27 14:44:52.061 | WARNING  | __main__:test_logging_system:344 | 50:140603273227136 | Test log WARNING
2025-06-27 14:44:52.061 | ERROR    | __main__:test_logging_system:345 | 50:140603273227136 | Test log ERROR
2025-06-27 14:44:52.068 | INFO     | __main__:test_logging_system:349 | 50:140603273227136 | Test agent log
2025-06-27 14:44:52.069 | INFO     | orchestrator.cache_manager:__init__:37 | 50:140603273227136 | CacheManager initialized
2025-06-27 14:44:52.069 | DEBUG    | orchestrator.cache_manager:connect:76 | 50:140603273227136 | Attempting Redis connection
2025-06-27 14:44:52.073 | INFO     | orchestrator.cache_manager:connect:86 | 50:140603273227136 | Connected to Redis successfully
2025-06-27 14:46:56.775 | INFO     | orchestrator.logging_config:__init__:33 | 72:140397430815616 | LoggingManager initialized
2025-06-27 14:46:56.775 | INFO     | orchestrator.core:__init__:122 | 72:140397430815616 | OrchestrationEngine initialized
2025-06-27 14:47:10.560 | INFO     | orchestrator.logging_config:__init__:33 | 75:140693074635648 | LoggingManager initialized
2025-06-27 14:47:10.561 | INFO     | orchestrator.logging_config:setup_logging:372 | 75:140693074635648 | Logging system configured successfully
2025-06-27 14:47:10.561 | INFO     | __main__:test_logging:36 | 75:140693074635648 | Test du système de logging depuis script
2025-06-27 14:47:10.568 | INFO     | __main__:test_logging:43 | 75:140693074635648 | Test de log spécifique à un agent
2025-06-27 14:47:10.577 | INFO     | orchestrator.cache_manager:__init__:37 | 75:140693074635648 | CacheManager initialized
2025-06-27 14:47:10.578 | DEBUG    | orchestrator.cache_manager:connect:76 | 75:140693074635648 | Attempting Redis connection
2025-06-27 14:47:10.592 | INFO     | orchestrator.cache_manager:connect:86 | 75:140693074635648 | Connected to Redis successfully
2025-06-27 14:47:10.593 | DEBUG    | orchestrator.cache_manager:set:255 | 75:140693074635648 | Cache set for key: script_test_key (TTL: 300s)
2025-06-27 14:47:10.593 | DEBUG    | orchestrator.cache_manager:get:180 | 75:140693074635648 | Cache get operation started
2025-06-27 14:47:10.594 | DEBUG    | orchestrator.cache_manager:get:207 | 75:140693074635648 | Cache hit
2025-06-27 14:47:10.602 | INFO     | agents.base:__init__:62 | 75:140693074635648 | Agent initialized
2025-06-27 14:47:10.602 | DEBUG    | agents.agent_normalization:execute:35 | 75:140693074635648 | Starting normalization execution
2025-06-27 14:47:10.603 | INFO     | agents.base:pre_execute:82 | 75:140693074635648 | Starting agent execution
2025-06-27 14:47:10.604 | DEBUG    | agents.agent_normalization:execute:45 | 75:140693074635648 | Checking cache for normalization result
2025-06-27 14:47:10.604 | DEBUG    | orchestrator.cache_manager:get:180 | 75:140693074635648 | Cache get operation started
2025-06-27 14:47:10.605 | DEBUG    | orchestrator.cache_manager:get:192 | 75:140693074635648 | Cache miss
2025-06-27 14:47:10.605 | DEBUG    | agents.agent_normalization:execute:60 | 75:140693074635648 | Validating input data
2025-06-27 14:47:10.605 | DEBUG    | agents.agent_normalization:execute:70 | 75:140693074635648 | Starting name normalization (fake mode)
2025-06-27 14:47:10.606 | DEBUG    | agents.agent_normalization:_normalize_name_fake:214 | 75:140693074635648 | Starting fake name normalization
2025-06-27 14:47:10.607 | DEBUG    | agents.agent_normalization:_normalize_name_fake:225 | 75:140693074635648 | Basic cleaning completed
2025-06-27 14:47:10.608 | DEBUG    | agents.agent_normalization:_normalize_name_fake:241 | 75:140693074635648 | Legal forms removed
2025-06-27 14:47:10.608 | DEBUG    | agents.agent_normalization:_normalize_name_fake:271 | 75:140693074635648 | Name normalization completed
2025-06-27 14:47:10.609 | DEBUG    | agents.agent_normalization:execute:78 | 75:140693074635648 | Name normalization completed
2025-06-27 14:47:10.609 | DEBUG    | agents.agent_normalization:execute:87 | 75:140693074635648 | Starting enterprise matching (fake mode)
2025-06-27 14:47:10.610 | DEBUG    | agents.agent_normalization:execute:95 | 75:140693074635648 | Enterprise matching completed
2025-06-27 14:47:10.610 | DEBUG    | agents.agent_normalization:execute:104 | 75:140693074635648 | Starting named entity extraction (fake mode)
2025-06-27 14:47:10.611 | DEBUG    | agents.agent_normalization:execute:112 | 75:140693074635648 | Named entity extraction completed
2025-06-27 14:47:10.611 | DEBUG    | agents.agent_normalization:execute:132 | 75:140693074635648 | Validating consolidated data
2025-06-27 14:47:10.612 | WARNING  | agents.agent_normalization:execute:141 | 75:140693074635648 | Data validation errors found
2025-06-27 14:47:10.613 | INFO     | agents.agent_normalization:execute:149 | 75:140693074635648 | Normalization execution successful
2025-06-27 14:47:10.613 | DEBUG    | agents.agent_normalization:execute:177 | 75:140693074635648 | Caching normalization result
2025-06-27 14:47:10.615 | DEBUG    | orchestrator.cache_manager:set:255 | 75:140693074635648 | Cache set for key: agent:normalization:Test Company SARL:-6927582474089292895 (TTL: 3600s)
2025-06-27 14:47:10.615 | INFO     | agents.base:post_execute:101 | 75:140693074635648 | Agent execution completed
2025-06-27 14:47:10.615 | WARNING  | agents.base:post_execute:114 | 75:140693074635648 | Agent execution had errors
2025-06-27 14:47:10.623 | INFO     | agents.base:__init__:62 | 75:140693074635648 | Agent initialized
2025-06-27 14:47:10.623 | DEBUG    | agents.agent_identification:execute:32 | 75:140693074635648 | Starting identification execution
2025-06-27 14:47:10.624 | INFO     | agents.base:pre_execute:82 | 75:140693074635648 | Starting agent execution
2025-06-27 14:47:10.625 | DEBUG    | agents.agent_identification:execute:42 | 75:140693074635648 | Retrieving normalization data
2025-06-27 14:47:10.625 | DEBUG    | agents.agent_identification:execute:55 | 75:140693074635648 | Checking for existing SIREN
2025-06-27 14:47:10.626 | DEBUG    | agents.agent_identification:execute:67 | 75:140693074635648 | Using SIREN from normalization
2025-06-27 14:47:10.626 | DEBUG    | agents.agent_identification:execute:95 | 75:140693074635648 | Starting website URL search (fake mode)
2025-06-27 14:47:10.627 | DEBUG    | agents.agent_identification:execute:104 | 75:140693074635648 | Website URL search completed
2025-06-27 14:47:10.627 | INFO     | agents.agent_identification:execute:126 | 75:140693074635648 | Identification execution successful
2025-06-27 14:47:10.628 | INFO     | agents.base:post_execute:101 | 75:140693074635648 | Agent execution completed
2025-06-27 14:47:10.635 | INFO     | agents.base:__init__:62 | 75:140693074635648 | Agent initialized
2025-06-27 14:47:10.636 | DEBUG    | agents.agent_validation:execute:30 | 75:140693074635648 | Starting validation execution
2025-06-27 14:47:10.636 | INFO     | agents.base:pre_execute:82 | 75:140693074635648 | Starting agent execution
2025-06-27 14:47:10.637 | DEBUG    | agents.agent_validation:execute:40 | 75:140693074635648 | Validating input data
2025-06-27 14:47:10.637 | DEBUG    | agents.agent_validation:execute:50 | 75:140693074635648 | Starting conflict detection (fake mode)
2025-06-27 14:47:10.638 | DEBUG    | agents.agent_validation:execute:58 | 75:140693074635648 | Conflict detection completed
